Field1,Time,Field2
 Rajasthan man among 2 killed in Pinjore hit-&-runs ," Dec 07, 2021, 05:26 (IST)",  
" Indore: 2 killed, 11 injured as bus overturns in Manpur ","TNN / Oct 28, 2021, 12:31 (IST)"," Two passengers were killed and 10 others injured when a private bus overturned in Madhya Pradesh's Indore district on Thursday, a police official said "
 Mexico urges US migration rethink after horror crash kills 55 ,"AFP / Dec 11, 2021, 03:28 (IST)",  
" Madhya Pradesh: 'Drunken driver' knocks down 6 persons, teen among 2 killed ","TNN / Dec 15, 2021, 07:00 (IST)"," The car, bearing registration number M BA 6722, first hit four persons near Bijla village, around 70km from Sehore town and 100km from Bhopal, said police. One of the injured, 14-year-old Praveen, died of his injuries. "
" Kozhikode couple, 3 kids killed in Saudi Arabia accident ","TNN / Dec 05, 2021, 04:25 (IST)"," Five members of a family from Kozhikode, including three children, died in an accident in Bisha province, about 200km away from Riyad, in Saudi Arabia in the early hours of Saturday. "
 Andhra Pradesh: 6 killed in road accident near Tirupati ,"TNN / Dec 05, 2021, 17:09 (IST)", Six persons including an infant were killed in a road accident at Ithepalli village near Tirupati on Sunday. 
" Pune: SUV rams BRTS ramp in Kharadi, teen passenger and driver killed ","TNN / Dec 10, 2021, 04:36 (IST)", Instances of private vehicles entering the BRTS lanes are too frequent across the city and accidents on the corridors meant only for buses are not uncommon. 
 Nashik: 42-year-old biker killed in road accident at Dwarka ,"TNN / Dec 07, 2021, 04:29 (IST)", A 42-year-old man lost his life after his two-wheeler was run down by a truck in Dwarka area of the city on Monday afternoon. 
 Assam: Nine killed as autorickshaw collides with truck in Karimganj ,"TNN / Nov 11, 2021, 11:19 (IST)"," Nine passengers, all teenagers, died on the spot on Thursday morning when the autorickshaw in which they were travelling collided with a truck at Baithakhal on NH-8 in Karimganj district, Assam. "
 Navi Mumbai: Three killed in multi-vehicle mishap on Mumbai-Pune expressway near Khalapur ,"TNN / Dec 13, 2021, 14:04 (IST)", Three persons were killed in a multi-vehicle crash on the Mumbai-Pune expressway in Khalapur taluka in the jurisdiction of Khopoli police station on Saturday around 11.15pm after a speeding truck rammed into a private luxury bus ferrying a marriage party from Lonavala towards Mumbai. 
" Haryana: 3 women farmers killed, 2 injured as tipper hits them near Tikri border ","TNN / Oct 28, 2021, 09:38 (IST)", Three women farmers died while two others sustained injuries after a tipper hit them near Tikri border early on Thursday morning. The incident took place near Pakoda Chowk of Bahadurgarh. 
" Umargam BJP leader, wife among three Killed in accident ","TNN / Nov 13, 2021, 04:00 (IST)",  
" Five, including minor, killed in Prayagraj-Lucknow highway accident ","TNN / Nov 30, 2021, 08:08 (IST)"," Five persons, including four of a family, were killed in a road accident when two motorcycles carrying them were hit by a speeding truck near Lalgopalganj toll road on Prayagraj-Lucknow highway under the limits of Nawabganj police station in trans-Ganga area late on Sunday night. "
" Delhi: Couple killed, daughter injured after dumper truck overturns on their car in RK Puram ","PTI / Dec 09, 2021, 09:28 (IST)"," A man and his wife were killed, while their minor daughter was injured after a dumper truck carrying gravel overturned on their car in southwest Delhi's RK Puram area, police said on Thursday. "
 Two medical students among three killed in road accident near Tirunelveli ,"TNN / Dec 04, 2021, 19:47 (IST)",  
 Thane: 42-year-old killed in road accident ,"TNN / Nov 22, 2021, 16:09 (IST)"," In a freak mishap, a 42-year-old man died after coming under the wheels of a container on Saturday in Majiwada area of Thane. "
 Uttar Pradesh: Five Killed in accident on Prayagraj-Lucknow highway ,"TNN / Nov 29, 2021, 20:21 (IST)"," The deceased, identified as Ram Sharam Pal (65), Lallu Pal (45), Samay Lal (35), Arjun Pal(14) and Ram Chander Pal alias Uthahara, were all residents of Budauna village. "
 25-yr-old Killed in accident ," Nov 04, 2021, 04:51 (IST)",  
 Andhra Pradesh: 3 of family killed in car crash in Prakasam ,"TNN / Oct 10, 2021, 04:39 (IST)"," Three persons of the same family were killed, while two children sustained minor injuries when the car they were travelling in lost control and turned turtle near Kanigiri in Prakasam district on Saturday morning. The deceased were identified as Kalyani, Chaitanya and Pedda Ram Reddy — all natives of Kanigiri town. "
" Jodhpur: Luxury car crashes into roadside shanties, 1 killed ","TNN / Nov 10, 2021, 07:41 (IST)", One person died and eight others were injured when a speeding luxury car lost its balance and rammed into roadside makeshift huts at AIIMS road here on Tuesday morning. 
" 5 killed, 2 injured as vehicle falls into gorge on way back from burial of ASI slain in Zewan terror attack ","TNN / Dec 15, 2021, 04:48 (IST)",  
 Rajasthan: Four killed as truck crashes into a wedding in Bhilwara ,"TNN / Nov 15, 2021, 04:08 (IST)", Four persons were killed and three injured when a speeding truck ploughed through guests at a wedding function in Bhilwara on Sunday evening. 
" Visakhapatnam: Infosys techie, friend killed in road accident ","TNN / Nov 11, 2021, 06:55 (IST)"," Dhana Raju was riding the bike while Vinod was riding pillion. They had visited a friend at Panorama Hills at Revenue Colony, close to the stadium, to celebrate their friend's birthday. "
 Vyttila accident: Syju granted bail ,"Agencies / Jan 10, 2022, 04:11 (IST)"," The high court has granted bail to an interior designer who was arrested in connection with the deaths of three people, including two models in a car accident at Vyttila on November 1, 2021. "
" Telangana: Car hits tree near Karimnagar, 4 killed "," Nov 27, 2021, 04:33 (IST)"," Four persons, including three brothers, died on Friday morning when the car they were travelling in hit a tree on the national highway at Manakondur on the outskirts of Karimnagar town. A relative of the brothers, who suffered serious injuries in the accident, is critical. "
" Car crashes into pile of bricks in Gurugram, 5 on way back from wedding killed ","TNN / Dec 04, 2021, 05:38 (IST)", Five employees of a private hospital in Sector 84 died after the car they were travelling in crashed into a pile of bricks along Sardhana road around 1am on Friday. 
 UP: 3 men on a bike killed in hit & run accident ,"TNN / Oct 02, 2021, 04:17 (IST)", Three bike riders were killed in a hit and run accident on Friday evening on Vidurkuti road near Madhya Ganga canal in Bijnor district. 
 Six killed in road accidents across Lucknow in 72 hours ,"TNN / Nov 07, 2021, 03:50 (IST)", Six persons were killed in as many accidents in the city in the last 72 hours. 
 Auto driver killed in road accident ," Nov 01, 2021, 04:29 (IST)",  
 Congress leader’s son killed in road accident in US Nagar ,"TNN / Dec 03, 2021, 04:18 (IST)",  
 5 killed as car rams tree in Kurukshetra ," Nov 06, 2021, 07:00 (IST)",  
" Rajasthan: Bike stunt turns fatal in Kota, 2 killed, 1 injured ","PTI / Nov 12, 2021, 18:20 (IST)"," Two people were killed and one other got critically injured in Kota district, when the bike they were riding went out of control and crashed against a divider, police said on Friday. "
 TIRUPATI: SV Vedic university professor and his wife killed in road accident ,"TNN / Dec 09, 2021, 00:26 (IST)"," Agnihotram Srinivasacharyulu, a professor at Sri Venkateswara Vedic university, Tirupati, breathed his last in a fatal road accident at the Nellore-Prakasam border on Wednesday morning. His wife also succumbed to the injuries before being shifted for treatment. "
" One killed, two injured in accident ","TNN / Oct 31, 2021, 04:08 (IST)",  
